,id_str,polished_text,stripped,removed_punct,sentiment,Emotion,Joy,Sad,Surprised,Fear,Angry,cat1,cat2,cat3,Claim,Indorg,id_str,Indorg,Num_retweets,Likes,Reply,user_screen_name,user_name,description,twitter_link
0,1.32611E+18,"         Hi , We have passed your comment onto our COVID 19 Social Distancing Team. Many Thanks Steve","hi , we have passed your comment onto our covid 19 social distancing team. many thanks steve","Hi , We have passed your comment onto our COVID 19 Social Distancing Team. Many Thanks Steve",1,0,0,0,0,0,0,0,0,0,1,1,1.32611E+18,1,1,0,1,ShropCouncil,Shropshire Council,"Shropshire Council Shropshire Council's official Twitter. Monitored Monday-Friday between 9am - 5pm, messages outside these hours will be picked up but please be patient ShropCouncil",https://twitter.com/ShropCouncil/status/1326106820398690304
1,1.34157E+18,"     Section 51ix gives the commonwealth the power to make laws with respect to quarantine such as the Biosecurity Act but doesnt make quarantine an exclusive federal responsibility. Cth law can override state law, but only insofar as they are incompatible.","section 51ix gives the commonwealth the power to make laws with respect to quarantine such as the biosecurity act but doesnt make quarantine an exclusive federal responsibility. cth law can override state law, but only insofar as they are incompatible.","Section 51ix gives the commonwealth the power to make laws with respect to quarantine such as the Biosecurity Act but doesnt make quarantine an exclusive federal responsibility. Cth law can override state law, but only insofar as they are incompatible.",1,0,0,0,0,0,0,0,0,0,0,0,1.34157E+18,0,na,na,na,paulkidd,Paul Kidd,"Paul Kidd Activist, lawyer, queer. Intrigued by law, disease, risk, gender and consent. HIV+. Usual disclaimers. He/him/comrade. paulkidd",https://twitter.com/paulkidd/status/1341566645999816704
2,1.37792E+18,"   All vaccine passports will allow you to do is to collapse social distancing. Given not everyone is immune even with a vaccine, and some cant or dont want to have it, you end up with a situation where the virus can run rampant. Remember we dont know it stops transmission","all vaccine passports will allow you to do is to collapse social distancing. given not everyone is immune even with a vaccine, and some cant or dont want to have it, you end up with a situation where the virus can run rampant. remember we dont know it stops transmission","All vaccine passports will allow you to do is to collapse social distancing. Given not everyone is immune even with a vaccine, and some cant or dont want to have it, you end up with a situation where the virus can run rampant. Remember we dont know it stops transmission",0,1,0,0,0,1,1,1,0,0,1,0,1.37792E+18,0,na,na,na,LaylaMoran,Layla Moran Ã°ÂŸÂ”Â¶,Layla Moran Ã°ÂŸÂ”Â¶ Lib Dem MP for Oxford West & Abingdon | Spokesperson for Foreign Affairs and International Development | Chair of @AppgCoronavirus | https://t.co/o8CedHV9xn | She/her LaylaMoran,https://twitter.com/LaylaMoran/status/1377920289607196673
3,1.33925E+18,"   Apparently, workers on the set were standing too close together and not social distancing and following COVID safety protocols.","apparently, workers on the set were standing too close together and not social distancing and following covid safety protocols.","Apparently, workers on the set were standing too close together and not social distancing and following COVID safety protocols.",0,0,0,0,0,0,0,0,0,0,0,0,1.33925E+18,0,na,na,na,MimiJungKING5,Mimi Jung,Mimi Jung KING 5 News Anchor + Reporter MimiJungKING5,https://twitter.com/MimiJungKING5/status/1339247472481161216
4,1.33424E+18,"   GOP   From what Im told by someone married to a recently hired Biden staff member, China and getting to the bottom of the COVID origin and why is very much a priority. Unlike the dipshit though, Biden will try diplomacy first and Im sure have spies on the ground.","gop  from what im told by someone married to a recently hired biden staff member, china and getting to the bottom of the covid origin and why is very much a priority. unlike the dipshit though, biden will try diplomacy first and im sure have spies on the ground.","GOP From what Im told by someone married to a recently hired Biden staff member, China and getting to the bottom of the COVID origin and why is very much a priority. Unlike the dipshit though, Biden will try diplomacy first and Im sure have spies on the ground.",0,1,0,0,0,0,1,1,1,0,1,0,1.33424E+18,0,na,na,na,MurphysLaw74,MurphysLaw74,MurphysLaw74 Multimedia Reporter; Bruins/NHL Reporter/Columnist Podcast Host @BOSHockeyNow; Cohost @The_IceGuys; Biden/Harris 2020 *Opinions are my own MurphysLaw74,https://twitter.com/MurphysLaw74/status/1334237005509775361
5,1.3272E+18,"   Hi Kevin, due to the Covid19 pandemic, parcel volumes have peaked beyond Christmas volumes and for the safety of our staff in our mail centres amp; those delivering the mail, our operational procedures have increasingly slowed due to social distancing protocol set out by the HSE.","hi kevin, due to the covid19 pandemic, parcel volumes have peaked beyond christmas volumes and for the safety of our staff in our mail centres amp; those delivering the mail, our operational procedures have increasingly slowed due to social distancing protocol set out by the hse.","Hi Kevin, due to the Covid19 pandemic, parcel volumes have peaked beyond Christmas volumes and for the safety of our staff in our mail centres amp; those delivering the mail, our operational procedures have increasingly slowed due to social distancing protocol set out by the HSE.",1,0,0,0,0,0,0,0,0,0,0,1,1.3272E+18,1,0,0,1,Postvox,An Post,"An Post We are An Post, IrelandÃ¢Â€Â™s leading supplier of postal, e-commerce and financial services. Follow us for news and updates. Postvox",https://twitter.com/Postvox/status/1327195398298071040
6,1.355E+18,"  Damn. IDK where youre located but my citys hotline was helpful in directing me toward the county, based on supply amp; demand. Someone also Tweeted about walkin spots in in south NJ amp; I know from my sis distributing the vaccine in NC contd","damn. idk where youre located but my citys hotline was helpful in directing me toward the county, based on supply amp; demand. someone also tweeted about walkin spots in in south nj amp; i know from my sis distributing the vaccine in nc contd","Damn. IDK where youre located but my citys hotline was helpful in directing me toward the county, based on supply amp; demand. Someone also Tweeted about walkin spots in in south NJ amp; I know from my sis distributing the vaccine in NC contd",2,1,0,0,1,0,0,0,0,0,0,0,1.355E+18,0,0,0,1,misskatiemo,Katie Morse,Katie Morse Traveler. Sailor. Bookworm. Kayaker. Music lover. NCSU grad - #GoPack. Advisor: @TicketFairy. Current: @EMyth Former: @nielsen @billboard misskatiemo,https://twitter.com/misskatiemo/status/1355003952522289153
7,1.33091E+18,"  Hello, masks and social distancing are required in order to use public transit. We have been using more high capacity amp; extra buses on routes, and cleaning our buses with hospitalgrade disinfectant, to mention a few. Please visit ","hello, masks and social distancing are required in order to use public transit. we have been using more high capacity amp; extra buses on routes, and cleaning our buses with hospitalgrade disinfectant, to mention a few. please visit","Hello, masks and social distancing are required in order to use public transit. We have been using more high capacity amp; extra buses on routes, and cleaning our buses with hospitalgrade disinfectant, to mention a few. Please visit",1,0,0,0,0,0,0,0,0,0,0,1,1.33091E+18,1,0,0,1,RTCSNV,RTC Southern Nevada,"RTC Southern Nevada The RTC is the transit authority, traffic management & transportation planning agency for SNV. Follows/RTs Ã¢Â‰Â endorsement. Social Policy https://bit.ly/2BekpOm RTCSNV",https://twitter.com/RTCSNV/status/1330910548444082176
8,1.32361E+18,"  If youre saying there have probably been ten enjoyable games in 2020, thats probably underlining my point. Theyve played 42. And I dont think youll find there were many between Mar and Dec 2019. Period just either side of lockdown was good. PSG amp; Leipzig recently excellent","if youre saying there have probably been ten enjoyable games in 2020, thats probably underlining my point. theyve played 42. and i dont think youll find there were many between mar and dec 2019. period just either side of lockdown was good. psg amp; leipzig recently excellent","If youre saying there have probably been ten enjoyable games in 2020, thats probably underlining my point. Theyve played 42. And I dont think youll find there were many between Mar and Dec 2019. Period just either side of lockdown was good. PSG amp; Leipzig recently excellent",2,0,0,0,0,0,0,0,0,0,0,0,1.32361E+18,0,0,0,1,OliverKay,Oliver Kay,Oliver Kay Senior football writer @TheAthleticUK. Enjoy a free trial here http://theathletic.com/ukfreetrial Author of @ForeverYoungAD: The Story of Adrian Doherty OliverKay,https://twitter.com/OliverKay/status/1323606226148728834
9,1.34136E+18,"  in Turkey, there is going to be a lockdown from 31st december evening until january 4, morning. So if you want to party you have to make it a 4day bender. game on Turkey! Who will take the challenge? ","in turkey, there is going to be a lockdown from 31st december evening until january 4, morning. so if you want to party you have to make it a 4day bender. game on turkey! who will take the challenge?","in Turkey, there is going to be a lockdown from 31st december evening until january 4, morning. So if you want to party you have to make it a 4day bender. game on Turkey! Who will take the challenge?",1,1,1,0,0,0,1,0,0,0,0,0,1.34136E+18,0,0,4,1,mirza9,Shaheryar Mirza,Shaheryar Mirza I just wanna get my kicks before the whole shithouse goes up in flames. Journalist. Editor. mirza9,https://twitter.com/mirza9/status/1341363367961878532
